date,sal_logger1,temp_logger1,n_logger1,sal_logger3,temp_logger3,n_logger3,stage_ft,n_stage,sal_logger1_z,sal_logger3_z,temp_logger1_z,temp_logger3_z,stage_ft_z,temp_mean,temp_mean_z
9/18/2025,0.104375,30.03916667,48,4.610625,29.21583333,48,1.568526316,95,-0.293198702,2.295990247,1.121469873,0.953150947,-0.211239997,29.6275,1.037297654
9/19/2025,0.102291667,30.21125,48,4.236458333,29.34354167,48,1.449473684,95,-0.311410153,2.044634125,1.147936746,0.97242136,-0.303779978,29.77739583,1.060149366
9/20/2025,0.101041667,30.296875,48,4.428541667,29.48645833,48,1.409789474,95,-0.322337024,2.173671065,1.161106098,0.993986618,-0.334626638,29.89166667,1.077570024
9/21/2025,0.100833333,30.1375,48,4.066041667,29.58895833,48,1.304736842,95,-0.324158169,1.930152328,1.136593801,1.009453246,-0.416284376,29.86322917,1.07323471
9/22/2025,0.101875,29.77541667,48,4.541458333,29.68645833,48,1.467684211,95,-0.315052443,2.249525752,1.080904425,1.024165405,-0.289624879,29.7309375,1.053066764
9/23/2025,0.103125,29.868125,48,4.55375,29.79854167,48,1.600736842,95,-0.304125572,2.257782997,1.095163212,1.0410781,-0.186202654,29.83333333,1.068677072
9/24/2025,0.105,29.53166667,48,4.260416667,29.7925,48,1.661368421,95,-0.287735266,2.060728754,1.043415029,1.040166449,-0.139073539,29.66208333,1.042569905
9/25/2025,0.104375,29.11729167,48,3.874166667,29.513125,48,1.650631579,95,-0.293198702,1.801255341,0.979683056,0.998010456,-0.14741932,29.31520833,0.989688599
9/26/2025,0.1,29.280625,48,3.262708333,29.61395833,48,1.367684211,95,-0.331442749,1.390492414,1.004804156,1.013225595,-0.36735519,29.44729167,1.009824784
9/27/2025,0.100833333,29.525,48,2.802916667,29.45833333,48,1.357894737,95,-0.324158169,1.081615487,1.042389678,0.989742726,-0.374964579,29.49166667,1.01658978
9/28/2025,0.1,29.53645833,48,2.602916667,29.37604167,48,1.297052632,95,-0.331442749,0.947260322,1.044152,0.977325413,-0.422257337,29.45625,1.011190487
9/29/2025,0.1,29.61895833,48,2.974166667,29.353125,48,1.114421053,95,-0.331442749,1.196657098,1.056840719,0.973867427,-0.564217432,29.48604167,1.015732245
9/30/2025,0.1,29.32291667,48,3.452708333,29.32166667,48,1.139368421,95,-0.331442749,1.518129821,1.011308726,0.969120555,-0.544825764,29.32229167,0.990768458
10/1/2025,0.099791667,29.26208333,48,4.174166667,29.16229167,48,1.228,95,-0.333263894,2.002788089,1.001952398,0.945071834,-0.475932162,29.2121875,0.973983011
10/2/2025,0.099791667,28.94916667,48,4.815208333,28.99916667,48,1.306947368,95,-0.333263894,2.433424385,0.953824986,0.920457261,-0.414566127,28.97416667,0.937696589
10/3/2025,0.1,28.51729167,48,5.172708333,28.46833333,48,1.450842105,95,-0.331442749,2.673584243,0.887401467,0.840357731,-0.3027163,28.4928125,0.864313853
10/4/2025,0.107708333,28.00104167,48,5.632291667,27.81833333,48,1.622210526,95,-0.26406038,2.982321217,0.808000849,0.742276673,-0.169511093,27.9096875,0.775416091
10/5/2025,0.147708333,27.57875,48,6.82375,27.185625,48,2.114,95,0.085599483,3.782714123,0.743051272,0.646804824,0.212758396,27.3821875,0.694998395
10/6/2025,0.168125,27.44458333,48,8.142083333,27.09125,48,2.329789474,95,0.264071705,4.668338588,0.722416083,0.632564209,0.380492226,27.26791667,0.677577737
10/7/2025,0.213125,27.349375,48,6.842291667,27.36083333,48,1.979684211,95,0.657439051,3.795169967,0.707772789,0.673242698,0.108354315,27.35510417,0.690869524
10/8/2025,0.478958333,27.64458333,48,6.052083333,27.65979167,48,1.838,95,2.981220226,3.26432711,0.753176613,0.718353698,-0.001777263,27.6521875,0.736160059
10/9/2025,0.418333333,27.55375,48,4.569375,27.75708333,48,1.230526316,95,2.451266996,2.268279494,0.739206206,0.73303442,-0.473968449,27.65541667,0.736652348
10/10/2025,0.814166667,27.18375,48,4.240833333,27.50708333,48,1.476526316,95,5.911442725,2.047573145,0.682299226,0.695310936,-0.282751883,27.34541667,0.689392659
10/11/2025,0.907083333,26.99229167,48,4.093125,27.07916667,48,1.361684211,95,6.723673449,1.948346257,0.652852427,0.630740907,-0.372019009,27.03572917,0.642180611
10/12/2025,0.852083333,26.778125,48,4.194375,26.70104167,48,1.407263158,95,6.242891137,2.016363559,0.619913026,0.573684138,-0.336590351,26.73958333,0.597032998
10/13/2025,0.719583333,26.76083333,48,4.074166667,26.57083333,48,1.390842105,95,5.08464284,1.935610507,0.617253522,0.55403649,-0.349354487,26.66583333,0.585789765
10/14/2025,0.519166667,26.69166667,48,3.856041667,26.50416667,48,1.222526316,95,3.332701234,1.789079405,0.606615505,0.543976894,-0.480186874,26.59791667,0.575435828
10/15/2025,0.405416667,26.67416667,48,3.84625,26.51708333,48,1.270421053,95,2.338355998,1.7825016,0.603923959,0.545925941,-0.442958146,26.595625,0.575086462
